,state,county_and_city,censusIncome,B19013_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E
23,Missouri,Cass County,"                                                    B19013_001E  B23025_002E  \
Cass County, Missouri: Summary level: 050, stat...        72819        54653   

                                                    B23025_003E  B23025_004E  \
Cass County, Missouri: Summary level: 050, stat...        54653        52876   

                                                    B23025_005E  B23025_006E  \
Cass County, Missouri: Summary level: 050, stat...         1777            0   

                                                    B23025_007E  
Cass County, Missouri: Summary level: 050, stat...        29009  ",72819,54653.0,54653.0,52876.0,1777.0,0.0,29009.0
24,Texas,Parker County,"                                                    B19013_001E  B23025_002E  \
Parker County, Texas: Summary level: 050, state...        83262        69132   

                                                    B23025_003E  B23025_004E  \
Parker County, Texas: Summary level: 050, state...        68759        66074   

                                                    B23025_005E  B23025_006E  \
Parker County, Texas: Summary level: 050, state...         2685          373   

                                                    B23025_007E  
Parker County, Texas: Summary level: 050, state...        42141  ",83262,69132.0,68759.0,66074.0,2685.0,373.0,42141.0
25,Texas,Ector County,"                                                    B19013_001E  B23025_002E  \
Ector County, Texas: Summary level: 050, state:...        67205        80520   

                                                    B23025_003E  B23025_004E  \
Ector County, Texas: Summary level: 050, state:...        80295        78322   

                                                    B23025_005E  B23025_006E  \
Ector County, Texas: Summary level: 050, state:...         1973          225   

                                                    B23025_007E  
Ector County, Texas: Summary level: 050, state:...        39647  ",67205,80520.0,80295.0,78322.0,1973.0,225.0,39647.0
26,Texas,Collin County,"                                                    B19013_001E  B23025_002E  \
Collin County, Texas: Summary level: 050, state...        96134       567991   

                                                    B23025_003E  B23025_004E  \
Collin County, Texas: Summary level: 050, state...       567731       544849   

                                                    B23025_005E  B23025_006E  \
Collin County, Texas: Summary level: 050, state...        22882          260   

                                                    B23025_007E  
Collin County, Texas: Summary level: 050, state...       233385  ",96134,567991.0,567731.0,544849.0,22882.0,260.0,233385.0
27,Texas,Angelina County,"                                                    B19013_001E  B23025_002E  \
Angelina County, Texas: Summary level: 050, sta...        53320        41303   

                                                    B23025_003E  B23025_004E  \
Angelina County, Texas: Summary level: 050, sta...        41303        40078   

                                                    B23025_005E  B23025_006E  \
Angelina County, Texas: Summary level: 050, sta...         1225            0   

                                                    B23025_007E  
Angelina County, Texas: Summary level: 050, sta...        25901  ",53320,41303.0,41303.0,40078.0,1225.0,0.0,25901.0
28,Texas,Hays County,"                                                    B19013_001E  B23025_002E  \
Hays County, Texas: Summary level: 050, state:4...        72058       125334   

                                                    B23025_003E  B23025_004E  \
Hays County, Texas: Summary level: 050, state:4...       125334       121205   

                                                    B23025_005E  B23025_006E  \
Hays County, Texas: Summary level: 050, state:4...         4129            0   

                                                    B23025_007E  
Hays County, Texas: Summary level: 050, state:4...        56998  ",72058,125334.0,125334.0,121205.0,4129.0,0.0,56998.0
29,Texas,Brazoria County,"                                                    B19013_001E  B23025_002E  \
Brazoria County, Texas: Summary level: 050, sta...        84904       184699   

                                                    B23025_003E  B23025_004E  \
Brazoria County, Texas: Summary level: 050, sta...       183933       178977   

                                                    B23025_005E  B23025_006E  \
Brazoria County, Texas: Summary level: 050, sta...         4956          766   

                                                    B23025_007E  
Brazoria County, Texas: Summary level: 050, sta...       102722  ",84904,184699.0,183933.0,178977.0,4956.0,766.0,102722.0
30,Texas,Harrison County,"                                                    B19013_001E  B23025_002E  \
Harrison County, Texas: Summary level: 050, sta...        58817        30070   

                                                    B23025_003E  B23025_004E  \
Harrison County, Texas: Summary level: 050, sta...        30070        28102   

                                                    B23025_005E  B23025_006E  \
Harrison County, Texas: Summary level: 050, sta...         1968            0   

                                                    B23025_007E  
Harrison County, Texas: Summary level: 050, sta...        21498  ",58817,30070.0,30070.0,28102.0,1968.0,0.0,21498.0
31,Texas,Williamson County,"                                                    B19013_001E  B23025_002E  \
Williamson County, Texas: Summary level: 050, s...        92179       329585   

                                                    B23025_003E  B23025_004E  \
Williamson County, Texas: Summary level: 050, s...       329139       313115   

                                                    B23025_005E  B23025_006E  \
Williamson County, Texas: Summary level: 050, s...        16024          446   

                                                    B23025_007E  
Williamson County, Texas: Summary level: 050, s...       128998  ",92179,329585.0,329139.0,313115.0,16024.0,446.0,128998.0
32,Texas,Orange County,"                                                    B19013_001E  B23025_002E  \
Orange County, Texas: Summary level: 050, state...        69052        41905   

                                                    B23025_003E  B23025_004E  \
Orange County, Texas: Summary level: 050, state...        41905        40847   

                                                    B23025_005E  B23025_006E  \
Orange County, Texas: Summary level: 050, state...         1058            0   

                                                    B23025_007E  
Orange County, Texas: Summary level: 050, state...        23574  ",69052,41905.0,41905.0,40847.0,1058.0,0.0,23574.0
